k,gamma,z_pss,z_prime,mu_abs,C_proxy
1,14.134725142,5.90301287679552,2.549236528643419,0.6656591563,2.998897265368065
2,21.022039639,2.9050681101943128,1.4151730711766242,0.4517631461,2.4509491452785883
3,25.01085758,1.9403691924968194,0.3563476644230178,0.3829342431,1.9393539719100807
4,30.424876126,1.04923734467763,1.0481416072153262,0.3193541702,2.2736096856856314
5,32.935061588,0.7454403565752807,1.0179355586823362,0.2976789998,2.259014957850952
6,37.586178159,0.30739182127763354,-0.041392997793384886,0.2664253106,1.7471766764424657
7,40.918719012,0.04516103347958579,0.9171547482797636,0.2477157867,2.2103204555833833
8,43.327073281,-0.08326020969479703,0.5052840175490761,0.2385532458,2.011315901527935
9,48.005150881,-0.32808346460863264,1.087550874027901,0.2210857067,2.2926511542400374
10,49.773832478,-0.41840537360862834,1.0392668449989564,0.2146414599,2.2693216458579806
11,52.970321478,-0.48900272127649497,-0.8854728971264817,0.2096045122,1.339340597253372
12,56.446247697,-0.5967209252132927,-0.22160569474681685,0.2019190824,1.6601028818838584
13,59.347044003,-0.7116892478929172,0.9015536796427841,0.1937163744,2.202782450390874
14,60.831778525,-0.6971011419364438,0.9394099086303843,0.1947572,2.2210735339901704
15,65.112544048,-0.7480766942415075,-0.2574231805649846,0.1911202193,1.6427968626384837
16,67.079810529,-0.8337258120085994,0.03807673543713723,0.1850093647,1.7855742552031337
17,69.546401711,-0.830458832213425,-0.30355731606212777,0.1852424557,1.620506123393539
18,72.067157674,-0.7784667474369119,0.24442027893753876,0.1889519635,1.8852737526247378
19,75.704690699,-0.8740515870757765,1.1269884504321461,0.1821322195,2.311706301206735
20,77.144840069,-0.9453505117553309,1.1507786998373752,0.177045216,2.323201092218848
21,79.33737502,-0.8192467441360269,-0.9049539156854722,0.1860424107,1.3299279074902512
22,82.910380854,-0.8106865523532936,-0.6824542870804899,0.1866531594,1.437433578722301
23,84.735492981,-0.8926594387035812,-0.7286776908375014,0.1808045949,1.4150997075213299
24,87.425274613,-0.9047915275547516,0.23610899696323626,0.1799390001,1.8812579708769286
25,88.809111208,-0.7934011890482786,0.2405815322567003,0.1878864277,1.8834189763215108
26,92.491899271,-0.7392824047174072,-1.5848832522528749,0.1917476703,1.0014048435357794
27,94.651344041,-0.9426852807348417,1.0622616237010718,0.1772353737,2.280432087411086
28,95.870634228,-0.8851251896665443,1.2481301599527053,0.1813421451,2.370238627205926
29,98.831194218,-0.6419435370523424,-1.2878700490690846,0.1986925599,1.1449134146432978
30,101.317851006,-0.6780544244950876,-1.324465944840685,0.1961161366,1.127231289221647
31,103.72553804,-0.8348044825644189,0.11390712789626882,0.1849324042,1.8222134050849603
32,105.446623052,-0.8234658785777017,0.9653564747245638,0.1857413858,2.2336101976314104
33,107.168611184,-0.5356243566536351,-0.9108358190972762,0.2062781728,1.327085934322149
34,111.029535543,-0.6090439960988917,1.7305551804941022,0.2010398615,2.6033330641612102
35,111.874659177,-0.7443959693276471,0.9946407358699361,0.19138283,2.247759543276194
36,114.320220915,-0.6787506866780674,0.35435436366675754,0.19606646,1.938390864074294
37,116.226680321,-0.4733950638240372,-1.2125342223151756,0.2107180803,1.181313604044868
38,118.790782866,-0.3305578046980331,-1.7312819244092041,0.2209091686,0.9306690512276096
39,121.370125002,-0.5968825719721799,0.09252026865271298,0.2019075493,1.8118798657755273
40,122.946829294,-0.7297968328590612,1.3269085165191759,0.1924244426,2.4083021518703736
41,124.256818554,-0.4067246191143071,0.4700852987236629,0.2154748531,1.9943088533923523
42,127.51668388,-0.1255409741423285,-1.1156334160464196,0.2355366169,1.228133395548179
43,129.5787042,-0.4727997497483491,-0.5952038265583757,0.2107605545,1.4795905898712414
44,131.087688531,-0.5534630732374355,0.5252555414449377,0.2050054241,2.020965589913543
45,133.497737203,-0.3689328610291258,-0.5796650324695203,0.2181712024,1.4870985057232033
46,134.756509753,-0.07707062353355262,-0.07225633836389052,0.2389948576,1.7322643632610977
47,138.116042055,-0.049278846009955996,-0.856953173296271,0.2409777328,1.3531205395972885
48,139.736208952,-0.48349054871793967,0.6892336205154025,0.2099977922,2.1001952657936296
49,141.123707404,-0.437472205265909,0.60645744254144,0.2132810882,2.060200104314447
50,143.111845808,0.10349365003773256,-0.5914232235149801,0.2518776759,1.4814172727757946
51,146.000982487,0.1255318746005514,-0.9179301259250763,0.2534500492,1.3236581613311083
52,147.422765343,-0.0680857808615176,-1.5493441406576378,0.2396359041,1.018576360050172
53,150.053520421,-0.3619401610811652,0.8703266055539193,0.2186701144,2.1876943912260813
54,150.925257612,-0.2801358803833653,1.0053140951911042,0.2245066493,2.2529166155163467
55,153.024693811,0.4774407076521233,-1.8712241670210266,0.2785578818,0.8630528272364589
56,156.112909294,0.30559024852057226,-0.09860356540980834,0.2662967728,1.7195341113212022
57,157.597591818,-0.2546425658485445,0.6912854368868924,0.2263255348,2.1011866467574762
58,158.849988171,-0.21018462358823997,0.3221176719789494,0.2294975,1.9228149855888912
59,161.188964138,0.3508958344786889,-1.860634834473842,0.2695292153,0.8681693000617038
60,163.030709687,0.5909342915084187,-0.11201739941289397,0.2866553708,1.7130529174543252
61,165.537069188,0.4002463835127016,-0.4019093068627739,0.273050256,1.572985159631377
62,167.184439978,-0.03594327222372382,-0.525749150644728,0.2419291933,1.5131491697264796
63,169.094515416,0.09481999815512454,0.7298093932761692,0.2512588321,2.1198003577830176
64,169.911976479,0.5360707640016876,1.1784603954743471,0.2827409926,2.336576122500707
65,173.41153652,0.8752063467208474,-0.8626633582128,0.3069374851,1.3503615360602514
66,174.754191523,0.2653841131629143,-0.7131474868832615,0.2634281636,1.4226034728576546
67,176.441434298,0.07048799892157595,-0.467926008986225,0.2495228036,1.541087713694926
68,178.377407776,0.3398933163202977,-1.0541302762788636,0.2687442126,1.2578500128973624
69,179.91648402,0.7852520887541699,-1.1839201496758387,0.3005194693,1.195139133125799
70,182.207078484,1.2248415809875663,-1.9888802193817163,0.331883102,0.8062046744424372
71,184.874467848,0.28050605946429463,1.831742426641916,0.2645070774,2.6522239449480547
72,185.598783678,-0.059382074687775156,1.5918147039940571,0.2402568922,2.536297500341587
73,187.228922584,0.5620688092618388,0.023281606709662638,0.2845958894,1.7784256579008184
74,189.416158656,1.4329044699432507,-1.9812754423841321,0.3467278791,0.8098790925114524
75,192.026656361,0.9213068051173671,-0.25031927309253216,0.3102266398,1.6462292743956837
76,193.079726604,0.564588525822604,-0.6533017145842552,0.284775665,1.4515192960513523
77,195.26539668,0.35809933073677463,-0.11034441759875932,0.2700431671,1.7138612560300577
78,196.876481841,0.6256423388839149,0.025963337208782737,0.2891317049,1.7797213959619511
79,198.015309676,1.397681624222538,-0.30024053980506155,0.3442148154,1.6221086980139015
80,201.264751944,1.4595071638674844,-0.47168544533000384,0.3486259161,1.539271257954635
